Gender,Age,Employment Type,Credit Score,Source of Lead,Loan Period,Value of Collateral,Monthly Income,Bank Account Type,Existing EMI,Loan Amount,Estimated EMI,New Debt to Income ratio,Loan Approved
Female,51,Salaried,713,Walk-in,10,78709,121561,Current,13305,351237,36260.416414488776,0.40774110458525986,0
Male,26,Salaried,605,Walk-in,10,160880,30733,Current,15676,435587,44968.400267448815,1.9732665300311982,0
Male,24,Self Employed,731,Online,10,147075,132466,Savings,1049,482558,49817.51359948659,0.38399675086049695,0
Male,38,Business,658,Walk-in,10,202143,196393,Savings,3601,159588,16475.278329889603,0.10222501988303861,0
Female,49,Salaried,665,Walk-in,5,380998,158388,Savings,6465,173469,35303.29571142682,0.26370871348477676,1
Female,30,Salaried,679,Online,1,178076,63948,Savings,7749,99358,99937.58833333234,1.6839711692833605,0
Male,33,Salaried,754,Walk-in,10,289852,105771,Current,2983,238689,24641.374722930414,0.261171537783801,1
Female,50,Salaried,515,Walk-in,1,37307,126491,Savings,15257,304289,306064.01916666364,2.5402678385550246,0
Male,30,Business,650,Walk-in,5,490809,101919,Savings,11312,42168,8581.760277395075,0.19519187077380148,1
Female,59,Business,805,Online,5,469474,108653,Current,14100,197171,40126.97437996263,0.49908400485916293,1
Female,46,Business,519,Walk-in,5,199923,130048,Savings,7173,297590,60563.603703044966,0.5208584807382272,0
Female,47,Self Employed,731,Walk-in,10,184116,151786,Savings,16417,255517,26378.635567952486,0.28194718595886636,0
Female,48,Business,718,Online,1,43524,21043,Savings,6546,168435,169417.53749999832,8.362093689112688,0
Female,24,Salaried,565,Online,30,329073,199021,Current,9,366666,13358.341703328557,0.06716548355866243,0
Male,49,Salaried,456,Walk-in,10,325948,139953,Savings,1727,235825,24345.705893589842,0.18629615580651962,0
Female,41,Salaried,776,Walk-in,5,289812,157625,Savings,19162,498107,101371.5344928009,0.7646853893278408,0
Male,48,Salaried,619,Call,1,10937,109045,Savings,6732,287512,289189.15333333047,2.7137526097788114,0
Female,37,Salaried,426,Walk-in,1,17104,51528,Savings,14867,222741,224040.32249999777,4.63645634412354,0
Female,39,Salaried,717,Walk-in,10,4326,44784,Savings,11419,277556,28653.860892616227,0.8948030745939672,0
Female,51,Business,597,Walk-in,5,69133,88904,Savings,3098,355911,72432.7186987279,0.8495761574139284,0
Male,53,Salaried,673,Walk-in,1,37727,68192,Savings,4044,45605,45871.029166666216,0.7319777857617641,0
Female,56,Salaried,572,Online,5,302670,21170,Current,17560,38164,7766.891937642421,1.1963576730109788,0
Female,42,Self Employed,669,Walk-in,10,220628,55896,Current,15227,16929,1747.687713654542,0.3036834069281262,0
Female,50,Salaried,619,Walk-in,10,28341,120287,Savings,17657,415343,42878.48414273841,0.5032587407013095,0
Male,20,Salaried,743,Online,10,322637,109782,Savings,18860,92199,9518.285752923097,0.258496709414322,1
Male,36,Salaried,656,Walk-in,20,200488,100919,Savings,13597,440629,23405.72517548127,0.3666576677878425,0
Male,57,Salaried,773,Walk-in,1,65295,59007,Savings,11769,203625,204812.81249999796,3.6704427017133217,0
Male,46,Self Employed,494,Walk-in,10,209458,75849,Current,2341,230330,23778.422298189536,0.34436079972299616,0
Female,27,Salaried,623,Walk-in,1,152320,127917,Savings,4539,65630,66012.84166666602,0.5515439047715786,0
Male,30,Business,742,Walk-in,10,211751,128638,Savings,12575,129705,13390.26728687828,0.20184756671339946,0
Others,51,Self Employed,621,Walk-in,10,154129,157681,Savings,3142,343539,35465.703199312884,0.2448468946754072,0
Male,42,Salaried,768,Walk-in,1,205089,59610,Savings,18594,100091,100674.86416666568,2.000819731029453,0
Male,18,Salaried,605,Call,5,373977,114565,Savings,10827,313939,63890.847081320724,0.6521873790539932,0
Female,48,Self Employed,646,Online,20,294844,85818,Savings,19798,35422,1881.5774657725603,0.25262273026372745,0
Female,31,Salaried,508,Walk-in,1,268387,34270,Savings,7274,23706,23844.284999999763,0.9080328275459517,0
Female,46,Salaried,803,Walk-in,5,39060,167398,Savings,2027,50743,10326.889151865353,0.0737995026933736,0
Female,37,Salaried,626,Walk-in,20,81280,167603,Current,4726,265961,14127.554185939132,0.11248935989176286,0
Female,45,Business,727,Walk-in,10,392346,192032,Current,1999,253391,26159.155145055116,0.14663261927728252,1
Male,53,Salaried,575,Walk-in,10,241586,39354,Savings,4704,113449,11712.057618665849,0.4171382227642895,0
Others,66,Business,627,Online,20,24970,96519,Savings,15028,316657,16820.469639747662,0.32997098643528905,0
Others,50,Business,609,Walk-in,1,375,53639,Savings,5617,431383,433899.40083332907,8.193970820360727,0
Female,44,Salaried,768,Call,1,497765,118064,Savings,9216,74190,74622.77499999927,0.7101129472150636,1
Male,35,Salaried,647,Walk-in,20,366194,115284,Savings,18005,112290,5964.720615199616,0.2079188839318519,1
Female,20,Business,644,Online,20,414477,196811,Savings,4571,349626,18571.74645836478,0.11758868385590633,1
Male,45,Self Employed,694,Walk-in,1,149595,174200,Savings,15812,201149,202322.36916666466,1.2522064820130003,0
Male,44,Salaried,632,Walk-in,5,214966,103523,Savings,19395,373250,75961.44051265679,0.9211135739174559,0
Male,36,Business,472,Walk-in,5,174490,60832,Current,16998,490602,99844.1651396931,1.920735223890273,0
Male,43,Salaried,536,Walk-in,20,201109,100557,Savings,4080,433048,23003.030839531242,0.26933013951819607,0
Female,49,Salaried,534,Walk-in,5,219156,104220,Savings,14259,242787,49410.449451430424,0.6109139268032089,0
Female,46,Salaried,725,Walk-in,20,436855,71316,Savings,12709,482767,25644.049133832694,0.537790245300251,0
Female,34,Business,723,Walk-in,30,153618,40790,Savings,17388,408907,14897.261897429731,0.7914994336217144,0
Male,43,Business,607,Walk-in,20,177687,81683,Savings,19606,203624,10816.28168625351,0.3724432462844596,0
Male,34,Salaried,451,Walk-in,10,92312,20550,Savings,15750,38393,3963.5521525393606,0.9592969417294093,0
Male,34,Salaried,571,Online,5,423787,38769,Savings,6142,429405,87389.74511275925,2.412539531913623,0
Others,51,Salaried,586,Call,1,90524,115754,Savings,9207,277000,278615.8333333306,2.4865044260529277,0
Male,35,Self Employed,756,Walk-in,10,137417,153210,Current,11678,249840,25792.562961749118,0.24456995601950995,0
Female,64,Business,538,Online,5,448498,193476,Savings,7930,237717,48378.63564460076,0.2910367985931111,0
Female,50,Salaried,513,Walk-in,5,342154,119661,Current,3765,390926,79558.74640013628,0.6963316903597353,0
Male,39,Self Employed,519,Walk-in,10,325399,89601,Savings,13307,21447,2214.1094213922242,0.17322473433769964,0
Female,39,Self Employed,568,Email,5,440343,89101,Savings,18895,113487,23096.14467370363,0.4712757957116489,0
Female,30,Self Employed,728,Walk-in,20,38923,16194,Savings,5713,121615,6460.054302408953,0.7517015130547705,0
Female,48,Salaried,643,Walk-in,5,350342,185327,Savings,19279,96061,19549.71717906584,0.20951462646600785,1
Female,57,Salaried,562,Walk-in,1,15271,198751,Savings,13871,315423,317262.9674999968,1.666074472581254,0
Male,47,Salaried,618,Walk-in,5,391248,44533,Savings,3905,259390,52789.38527683334,1.273087042795979,0
Male,34,Salaried,532,Walk-in,30,410978,100401,Savings,10605,87816,3199.304366970214,0.13749170194490307,0
Female,32,Salaried,453,Walk-in,20,377925,151687,Savings,1916,354922,18853.06412136324,0.13692052793820986,0
Female,61,Salaried,587,Walk-in,1,242891,120762,Savings,4277,53616,53928.75999999946,0.48198738013613107,0
Male,27,Business,728,Online,5,62030,30084,Savings,10482,208975,42529.248576376296,1.762107717603254,0
Female,38,Business,544,Walk-in,20,23519,154088,Savings,12507,285607,15171.12797885223,0.1796254606384159,0
Female,46,Salaried,663,Walk-in,1,228630,172797,Savings,15998,152456,153345.32666666515,0.9800131175116764,0
Female,46,Salaried,533,Online,5,393926,49825,Current,10083,42569,8663.369219513159,0.3762442392275596,0
Male,55,Salaried,774,Walk-in,5,28026,59072,Current,6572,25393,5167.820117717063,0.19873747490718213,0
Female,41,Business,661,Walk-in,10,89381,164873,Savings,6951,98165,10134.193656500569,0.10362638913891642,0
Female,62,Salaried,517,Online,5,380318,52246,Current,3863,496470,101038.38277647346,2.0078356769221273,0
Male,42,Business,579,Walk-in,1,4892,168926,Savings,17058,86641,87146.40583333248,0.6168642235850756,0
Male,31,Salaried,605,Online,10,380331,72793,Savings,18284,371472,38349.403412291336,0.7780061738393985,0
Others,36,Salaried,850,Online,1,35995,183458,Current,4503,319059,320920.1774999968,1.7738293097057463,0
Male,32,Self Employed,623,Online,10,255563,160214,Savings,4099,220625,22776.513782564438,0.1677475987277294,0
Female,46,Salaried,805,Walk-in,10,148186,32393,Savings,19421,164895,17023.153496548275,1.1250626214474817,0
Female,40,Salaried,454,Walk-in,5,390979,149850,Current,589,123120,25056.590906679983,0.17114174779232555,0
Male,43,Salaried,432,Walk-in,1,88340,117284,Current,16023,490745,493607.6791666618,4.345270276991421,0
Female,48,Salaried,614,Walk-in,10,367880,161390,Savings,1889,334362,34518.30346228129,0.22558586939885553,0
Male,46,Business,524,Walk-in,5,432176,62068,Current,18766,103866,21138.14060358368,0.642910043880642,0
Female,63,Salaried,420,Online,5,238177,59778,Savings,11554,306904,62459.1291067553,1.2381332447849596,0
Male,29,Self Employed,604,Walk-in,10,125220,112506,Savings,18716,447625,46211.1591248517,0.5770995246906983,0
Female,44,Salaried,482,Online,10,449556,147322,Savings,1059,339345,35032.73006025758,0.24498533864770758,0
Male,51,Salaried,674,Online,1,17851,189420,Current,3395,456524,459187.05666666216,2.442097226621593,0
Male,39,Self Employed,548,Walk-in,1,296470,33703,Savings,16778,364526,366652.401666663,11.376743959489156,0
Others,33,Salaried,661,Walk-in,1,43479,184750,Current,16950,148549,149415.53583333184,0.9004900451059911,0
Male,48,Salaried,769,Walk-in,10,300169,67347,Current,17456,484809,50049.898562770686,1.0023594007568368,0
Female,52,Salaried,523,Walk-in,10,475365,83493,Current,2510,297103,30671.821300130276,0.3974203981187678,0
Male,50,Self Employed,563,Walk-in,20,285509,168794,Savings,7480,190155,10100.823302015166,0.10415549902256696,0
Female,62,Self Employed,706,Walk-in,10,71060,28894,Savings,6100,462914,47789.53926863245,1.8650771533409167,0
Male,38,Self Employed,818,Walk-in,20,373092,72063,Savings,2402,31417,1668.8362950193816,0.05648996426764611,1
Others,27,Salaried,584,Walk-in,5,434716,40772,Savings,6486,352939,71827.87636462579,1.9207759335972183,0
Male,57,Salaried,670,Walk-in,5,330554,113290,Current,18486,445967,90760.33688173613,0.9643069722105758,0
Male,50,Business,533,Walk-in,20,451495,182114,Savings,11575,41861,2223.6100246938386,0.07576907884453606,1
Male,46,Salaried,733,Online,1,106325,106168,Savings,13191,155110,156014.8083333318,1.5937552589606265,0
Male,53,Self Employed,532,Call,5,251490,123754,Savings,5439,156440,31837.663104621643,0.30121582417232284,0
Female,62,Salaried,763,Walk-in,1,388670,79181,Savings,19845,463426,466129.31833332876,6.137511755766266,0
Male,36,Salaried,411,Walk-in,20,72493,193928,Savings,18701,476544,25313.49025603069,0.22696304946181414,0
Female,66,Salaried,563,Walk-in,5,19076,181888,Current,5991,385647,78484.39825689096,0.46443634685570767,0
Male,67,Salaried,648,Online,1,225806,115210,Current,965,482005,484816.6958333286,4.216488983884459,0
Male,37,Salaried,673,Walk-in,10,11261,83475,Savings,11723,461583,47652.13172259463,0.7112923836189833,0
Female,45,Salaried,755,Online,1,431208,26670,Savings,18616,21761,21887.939166666452,1.518707880264959,0
Female,61,Salaried,767,Walk-in,20,455278,122036,Savings,8556,285920,15187.754192696362,0.19456352381835162,1
Male,50,Business,622,Walk-in,5,420690,138397,Savings,3613,280661,57118.322453376466,0.4388196453201765,0
Male,29,Salaried,577,Walk-in,10,224591,110142,Current,13007,69470,7171.827365324652,0.1832073810655758,0
Male,34,Business,598,Online,5,340391,94967,Savings,1031,261810,53281.88811954099,0.5719132763964428,0
Female,23,Self Employed,792,Online,20,301678,138303,Savings,14127,36976,1964.1242271584383,0.1163468921654515,1
Female,49,Salaried,542,Walk-in,20,10090,155121,Current,3867,256966,13649.74973377313,0.1129231357055017,0
Male,28,Self Employed,713,Call,20,194390,26028,Savings,15237,251608,13365.138699342284,1.098898828159762,0
Female,46,Business,825,Walk-in,20,294915,119762,Savings,7581,395512,21009.160031693213,0.2387248044596217,1
Female,51,Business,545,Online,1,78292,49520,Savings,3203,38547,38771.85749999962,0.8476344406300408,0
Female,60,Salaried,768,Walk-in,20,332439,44587,Savings,15353,368859,19593.382148026678,0.7837796251828263,0
Female,46,Salaried,651,Online,10,355881,33050,Current,5001,464617,47965.35072686115,1.6026127300109274,0
Male,18,Salaried,645,Walk-in,20,248694,79597,Savings,18533,369087,19605.493255874797,0.479144857920208,0
Male,51,Business,570,Walk-in,10,430617,150533,Savings,4890,348600,35988.18223049048,0.2715562848710281,0
Male,31,Business,755,Walk-in,1,400577,123909,Savings,13740,405307,407671.2908333293,3.400974027982869,0
Male,55,Salaried,642,Walk-in,10,313703,184052,Savings,13411,38306,3954.570592430202,0.09435143650941148,1
Female,30,Business,574,Walk-in,1,133639,17118,Savings,4839,107333,107959.10916666561,6.589444395762683,0
Female,25,Salaried,715,Walk-in,10,189512,53394,Savings,6379,266000,27460.861942944546,0.6337764906720708,0
Male,37,Salaried,566,Walk-in,5,337857,188381,Savings,15171,112601,22915.83164947265,0.20217979334154,0
Male,62,Business,520,Walk-in,1,35917,22358,Savings,5927,134571,135355.99749999866,6.31912503354498,0
Male,31,Business,588,Walk-in,30,155283,127853,Savings,2417,387893,14131.681798501153,0.1294352248167908,0
Female,47,Business,850,Walk-in,20,491329,57030,Savings,258,326243,17329.667358309453,0.308393255449929,1
Male,34,Self Employed,626,Online,20,243779,71291,Savings,14563,314715,16717.31274746235,0.43876944842213395,0
Female,59,Salaried,737,Online,20,243554,175994,Savings,16528,454909,24164.262982810957,0.23121392196785662,0
Male,44,Self Employed,617,Walk-in,10,105142,119664,Savings,19494,62577,6460.219390239251,0.21689246047465613,0
Male,49,Business,470,Walk-in,10,460109,78215,Current,19137,215076,22203.655425717072,0.5285514981233405,0
Others,47,Salaried,647,Walk-in,1,350292,190519,Savings,17092,150347,151224.0241666652,0.8834605691120843,0
Others,53,Business,749,Walk-in,20,87535,126517,Savings,8437,11222,596.1002292614668,0.07139831192062306,0
Male,28,Salaried,562,Walk-in,20,122958,46572,Savings,7570,92336,4904.786202912742,0.2678602207960307,0
Female,51,Salaried,790,Walk-in,10,419366,173589,Savings,19196,462963,47794.59784846404,0.38591499374075566,1
Female,29,Salaried,477,Walk-in,20,122161,35649,Savings,12565,242083,12859.181233318806,0.7131807689786195,0
Female,38,Salaried,712,Walk-in,10,456723,114692,Current,7175,16455,1698.7536965080922,0.0773702934512267,1
Male,39,Salaried,720,Walk-in,5,263749,44927,Savings,9579,143215,29146.19612329576,0.8619582016002795,0
Female,44,Business,590,Online,30,372891,138499,Savings,11715,131615,4794.98547256519,0.11920653197904092,1
Female,53,Salaried,505,Walk-in,5,72820,157663,Savings,9926,16876,3434.4950303860574,0.08474083983170469,0
Female,37,Salaried,651,Walk-in,10,185199,171904,Savings,251,29463,3041.6517873119365,0.019154014957836564,0
Male,43,Salaried,697,Walk-in,5,486314,100638,Savings,19327,99997,20350.746595965546,0.39426207392799484,1
Male,62,Business,563,Call,10,316865,144666,Savings,2005,470966,48620.798142183536,0.349949526095859,0
Male,49,Self Employed,730,Walk-in,10,180251,53289,Savings,6161,34200,3530.6822498071556,0.1818702218057602,0
Female,44,Salaried,695,Walk-in,10,242273,91411,Savings,14725,317192,32745.735794761153,0.5193109778337526,0
Male,37,Salaried,599,Online,10,308173,146497,Savings,19697,127270,13138.886840144934,0.22414033625360885,0
Female,36,Business,778,Walk-in,5,279880,176672,Savings,1276,470240,95700.22179952238,0.548905439455728,0
Others,40,Salaried,684,Walk-in,10,134806,95279,Current,9219,406810,41997.56859777921,0.5375430955171571,0
Male,49,Salaried,538,Walk-in,20,269675,153080,Savings,1448,266380,14149.81100255476,0.10189319965086725,0
Female,43,Salaried,522,Walk-in,1,295330,56176,Savings,6892,433285,435812.49583332904,7.880669606830836,0
Male,24,Self Employed,633,Walk-in,1,307221,119617,Savings,17586,444310,446901.8083333289,3.8831253779423403,0
Female,61,Salaried,700,Walk-in,1,303364,23801,Savings,5999,499568,502482.1466666617,21.363856420598367,0
Male,40,Salaried,738,Online,20,84027,158717,Savings,8961,171424,9105.853297176765,0.11383061232997577,0
Female,36,Salaried,589,Walk-in,10,175016,40300,Savings,10498,321523,33192.8523100803,1.084140255833258,0
Female,30,Salaried,686,Walk-in,30,456092,159229,Savings,6740,365246,13306.608395035106,0.12589797332794345,1
Female,49,Salaried,531,Walk-in,10,71842,155087,Savings,6438,48070,4962.570051117836,0.07351080394306315,0
Female,35,Business,735,Walk-in,5,310385,74111,Savings,9548,447610,91094.70967949177,1.357999617863634,0
Female,28,Salaried,624,Walk-in,20,457057,90705,Savings,19567,7350,390.4238714196917,0.22002562010274726,1
Female,61,Salaried,694,Walk-in,1,135363,162345,Savings,1973,96074,96634.43166666573,0.6073943248431779,0
Female,44,Salaried,513,Online,5,80496,126270,Savings,10445,145403,29591.483817446308,0.31707043492077536,0
Female,46,Salaried,621,Walk-in,5,336776,43465,Current,18653,363353,73947.26669683961,2.1304559230838516,0
Male,40,Business,722,Walk-in,5,362674,76723,Savings,13841,277703,56516.32930927348,0.9170304772919917,0
Female,45,Salaried,505,Walk-in,5,302572,39759,Savings,5389,382877,77920.66566420493,2.0953662230992967,0
Female,49,Business,553,Walk-in,1,12612,90347,Savings,6183,215383,216639.4008333312,2.4662955143317564,0
Female,35,Salaried,733,Walk-in,1,188983,52094,Current,18936,276822,278436.79499999725,5.708388586017531,0
Male,28,Salaried,589,Walk-in,5,261466,39019,Savings,9946,46924,9549.670822815558,0.49964557838016244,0
Female,25,Salaried,700,Walk-in,20,213770,17435,Savings,12230,388465,20634.831185176947,1.8849917513723513,0
Male,38,Salaried,734,Walk-in,1,320413,146806,Savings,4617,73201,73628.0058333326,0.5329823429105935,0
Female,49,Salaried,530,Online,5,481394,178997,Savings,1698,201428,40993.33165327108,0.23850305677341566,1
Male,46,Salaried,838,Walk-in,1,227684,133180,Savings,13975,117625,118311.14583333216,0.99328837538168,0
Female,19,Business,741,Walk-in,10,158886,195218,Savings,2352,252771,26095.14862473698,0.1457199060780101,0
Others,38,Salaried,696,Walk-in,10,56673,113295,Savings,15785,149201,15402.962641914546,0.27528101541916716,0
Male,35,Salaried,731,Walk-in,20,211058,22764,Savings,14537,470278,24980.647265783642,1.7359711503155704,0
Others,46,Business,774,Walk-in,20,77207,144600,Current,6705,290825,15448.302368113176,0.15320402744199982,0
Male,37,Salaried,483,Walk-in,5,50767,32459,Current,8411,75781,15422.461951747204,0.7342635925859454,0
Female,57,Salaried,429,Walk-in,1,460601,85658,Savings,16310,62713,63078.82583333272,0.926811574322687,0
Female,46,Business,632,Online,1,310045,127716,Savings,15514,249451,250906.13083333086,2.0860356637643744,0
Female,33,Business,508,Walk-in,30,296855,45342,Savings,18016,301306,10977.152245539848,0.6394325844810518,0
Female,29,Business,642,Walk-in,10,313666,188893,Savings,6467,380192,39249.62414966907,0.24202391909530302,0
Female,27,Self Employed,560,Walk-in,1,433692,187030,Savings,8802,308932,310734.10333333025,1.7084751287672044,0
Male,23,Salaried,532,Walk-in,1,106537,74973,Savings,14675,453772,456419.0033333288,6.283515443337319,0
Male,43,Salaried,684,Walk-in,5,259531,71993,Savings,7557,56227,11442.957577240866,0.2639139579853717,0
Female,40,Salaried,532,Walk-in,1,248950,38135,Current,13115,368344,370492.67333332973,10.059202132773823,0
Female,39,Business,721,Walk-in,20,143933,134823,Savings,12434,214345,11385.769349585553,0.17667437565983218,0
Female,38,Salaried,714,Walk-in,10,286362,134687,Current,3184,83350,8604.74752986627,0.087526988721007,1
Female,51,Business,464,Walk-in,10,198428,83500,Savings,6076,390206,40283.432689130146,0.5552027866961694,0
Male,55,Business,564,Walk-in,5,128449,94114,Savings,15888,464127,94456.14333775715,1.1724519554769444,0
Female,49,Salaried,789,Online,5,8632,192457,Savings,6530,424621,86416.13618734048,0.4829449497152116,0
Male,43,Business,589,Walk-in,10,29884,104942,Current,3437,117604,12141.004541120488,0.14844394561872737,0
Female,47,Salaried,825,Online,10,47388,52893,Current,19489,172830,17842.33372029739,0.7057896833285575,0
Male,41,Salaried,489,Walk-in,5,303207,183078,Savings,8253,259161,52742.780668990345,0.333168270731548,0
Male,18,Business,556,Walk-in,10,459320,20786,Savings,890,150933,15581.767953512966,0.7924452974845071,0
Male,40,Salaried,596,Call,20,238024,43878,Savings,13565,164775,8752.66577050064,0.5086299687884734,0
Male,46,Salaried,663,Walk-in,1,131382,121661,Savings,5246,342963,344963.61749999656,2.878569282678891,0
Female,49,Salaried,725,Walk-in,10,296819,103013,Current,3921,184653,19062.89676823511,0.22311646848684255,1
Male,51,Business,604,Online,5,9899,92484,Current,9531,35043,7131.726081406649,0.1801687435816644,0
Male,37,Business,747,Walk-in,10,462207,132685,Savings,12686,374525,38664.583906696644,0.3870112213641078,1
Male,41,Self Employed,608,Walk-in,1,378523,191540,Savings,19244,306171,307956.99749999697,1.7082645792001512,0
Male,63,Salaried,696,Online,10,105636,181675,Savings,2378,238082,24578.710274812493,0.14837875478085863,0
Male,36,Business,801,Walk-in,1,4502,54837,Savings,5358,91387,91920.09083333242,1.7739499030459802,0
Male,32,Salaried,634,Call,1,410180,38854,Savings,2082,266585,268140.079166664,6.954807205607247,0
Female,36,Business,563,Walk-in,10,313311,33761,Savings,17790,5994,618.7985206240963,0.5452681650609904,0
Female,31,Business,835,Walk-in,10,450011,109406,Savings,15004,40257,4155.98465878616,0.17512736649531252,1
Female,57,Business,719,Online,20,390201,67009,Savings,11949,204269,10850.543372929116,0.3402459874483893,1
Male,49,Salaried,616,Walk-in,10,334542,16455,Savings,19141,249739,25782.136093116645,2.7300599266555237,0
Male,56,Business,758,Online,10,266199,73332,Savings,9938,190714,19688.61212250649,0.40400660179057557,0
Female,25,Salaried,641,Walk-in,10,499103,28682,Savings,7368,232005,23951.343139371613,1.0919511588930901,0
Female,38,Salaried,670,Walk-in,5,485972,16890,Savings,14963,151416,30815.210922074853,2.710373648435456,0
Male,21,Business,527,Walk-in,1,149316,193278,Savings,3567,401731,404074.43083332933,2.1090937966728203,0
Male,62,Salaried,474,Walk-in,1,11876,140362,Current,18508,353126,355185.9016666631,2.662358057498918,0
Male,37,Salaried,650,Walk-in,1,105722,187681,Savings,5337,27218,27376.771666666395,0.17430518628239616,0
Male,38,Salaried,682,Walk-in,5,462043,74172,Savings,18805,328821,66919.5360504014,1.1557533307771315,0
Male,50,Self Employed,723,Walk-in,20,158879,50196,Savings,16436,265154,14084.687238424074,0.6080302661252704,0
Female,44,Salaried,658,Email,20,385210,109786,Savings,1734,96466,5124.167235424759,0.06246850450353195,1
Female,51,Business,638,Walk-in,20,461695,66469,Savings,14098,233252,12390.088279780399,0.39850288525147665,1
Female,60,Salaried,660,Walk-in,30,274363,72390,Savings,8034,239386,8721.288548687387,0.23145860683364258,0
Female,46,Business,689,Walk-in,5,108118,177707,Savings,3466,356888,72631.55145795326,0.428219211724655,0
Female,50,Salaried,721,Walk-in,1,444879,142340,Current,12882,125323,126054.05083333209,0.9760857863800203,0
Female,26,Business,652,Online,10,259569,55816,Savings,927,265011,27358.761219404798,0.506767973688634,0
Female,45,Business,770,Walk-in,20,420169,22282,Savings,4344,294539,15645.585940691779,0.8971181195894345,0
Male,30,Salaried,667,Walk-in,5,448860,96454,Savings,14733,429890,87488.44919487213,1.059794816128643,0
Male,38,Business,825,Walk-in,10,154099,25446,Savings,12941,10515,1085.5299373310597,0.5512273024181034,0
Male,53,Salaried,555,Walk-in,1,253594,31456,Savings,9638,12920,12995.36666666654,0.7195246269921967,0
Female,27,Business,718,Walk-in,5,149346,110490,Savings,2699,492726,100276.42796527616,0.9319886683435258,0
Female,26,Self Employed,850,Online,5,356841,149529,Savings,16251,121614,24750.099468201588,0.2742016563221956,1
Male,36,Business,587,Walk-in,5,310252,51853,Savings,13232,206684,42062.998984374964,1.0663799391428648,0
Female,55,Self Employed,729,Walk-in,20,74007,189109,Savings,339,68968,3663.5038862684755,0.021165062933379563,0
Male,28,Salaried,721,Walk-in,1,295766,120892,Savings,18805,349292,351329.5366666632,3.0616958662828244,0
Female,54,Salaried,836,Call,30,358210,146024,Savings,4980,410318,14948.667318557944,0.13647528706622158,1
Male,59,Business,504,Online,1,201891,196767,Savings,15633,426941,429431.4891666624,2.261885830279785,0
Male,26,Salaried,630,Walk-in,20,29676,161295,Savings,6400,109889,5837.18215053585,0.07586832915177687,0
Female,53,Salaried,466,Walk-in,10,278925,166952,Savings,18947,249286,25735.37003875516,0.26763602735370146,0
Male,41,Salaried,471,Email,10,343107,111199,Savings,3339,233494,24105.062024458246,0.24680133836148027,0
Male,25,Salaried,629,Walk-in,1,422315,20045,Current,14233,256812,258310.06999999747,13.59656123721614,0
Male,53,Salaried,508,Walk-in,10,3503,48615,Savings,9572,453055,46771.73235925091,1.158978347408226,0
Female,59,Salaried,693,Email,20,294761,145321,Savings,4942,462288,24556.227302158703,0.20298667984777632,0
Female,36,Business,778,Walk-in,1,151926,114699,Savings,2355,34792,34994.95333333299,0.3256345158487257,0
Male,63,Business,578,Walk-in,1,339743,108531,Savings,12130,127725,128470.06249999872,1.295482972606893,0
Female,64,Salaried,799,Walk-in,5,416759,72414,Savings,9863,253399,51570.13547077486,0.8483599230918726,0
Female,44,Business,826,Walk-in,1,315091,45426,Savings,19163,357030,359112.67499999644,8.327294390877393,0
Male,37,Business,681,Walk-in,1,33399,29113,Savings,11957,170134,171126.44833333165,6.288718041195742,0
Male,51,Business,661,Call,10,81808,72599,Savings,18922,91145,9409.474668382258,0.3902460732018659,0
Male,49,Business,602,Walk-in,1,117724,79614,Savings,8830,121236,121943.2099999988,1.6425906247644735,0
Male,26,Salaried,612,Walk-in,10,12984,81437,Savings,19069,453247,46791.55373328491,0.8087301071169727,0
Female,47,Salaried,757,Walk-in,20,62886,164339,Savings,4075,218508,11606.903305601905,0.0954241129957095,0
Male,31,Self Employed,494,Online,10,927,66854,Savings,14533,444215,45859.123263101916,0.9033434538412348,0
Female,49,Salaried,666,Walk-in,1,194499,91396,Savings,17758,221480,222771.96666666446,2.63173406567754,0
Female,45,Self Employed,644,Online,10,474839,139326,Savings,5350,250279,25837.883707587283,0.22384826742738098,1
Male,18,Salaried,590,Walk-in,5,321515,26110,Savings,18110,183356,37315.43439153034,2.122766541230576,0
Female,39,Self Employed,646,Walk-in,5,262121,35543,Savings,15452,232945,47407.4688820384,1.76854708049513,0
Male,67,Salaried,523,Walk-in,5,91777,188326,Savings,8848,376695,76662.5447660154,0.4540559708485042,0
Others,55,Salaried,743,Online,20,106573,110929,Current,14351,68724,3650.542876115224,0.16227986257980534,0
Female,48,Salaried,666,Walk-in,10,496103,138747,Savings,7980,419207,43277.38929517276,0.3694306132397296,1
Female,30,Business,515,Walk-in,1,93353,91610,Savings,5315,216476,217738.7766666645,2.434819088163568,0
Female,34,Business,541,Online,5,148517,110238,Savings,7049,270153,54979.801845454174,0.5626807620371757,0
Male,60,Self Employed,557,Walk-in,5,367158,163872,Current,6607,209771,42691.24537918426,0.3008338543447585,0
Female,52,Self Employed,483,Walk-in,30,408502,157336,Savings,19346,371005,13516.419748881572,0.20886777183150435,0
Female,35,Salaried,539,Walk-in,30,199969,78534,Savings,4913,275560,10039.17636150943,0.19039112182633547,0
Female,32,Salaried,650,Walk-in,5,227885,69025,Savings,19259,40018,8144.206098956462,0.3970040724224044,0
Female,32,Self Employed,494,Walk-in,5,94378,102041,Savings,16963,327390,66628.3081297755,0.8191933451237786,0
Female,34,Salaried,670,Walk-in,10,283265,115886,Savings,15486,212781,21966.728064216855,0.3231859591686386,0
